duration_days,radiation,shielding,exercise,dna_damage,mitochondrial_stress,immune_dysfunction,inflammation,senescence
353,high,low,high,77.4,56.1,31.4,31.2,55.4
242,medium,high,high,29.0,33.6,17.4,17.0,25.7
257,medium,high,low,30.8,60.3,43.5,42.9,27.2
552,low,high,low,51.2,81.6,58.7,53.1,46.5
330,low,medium,high,34.6,32.6,17.8,14.8,30.2
130,medium,high,high,15.6,21.5,9.4,10.3,15.0
643,medium,medium,medium,87.2,91.9,61.3,56.1,69.2
511,high,medium,high,86.3,73.2,42.8,40.7,65.6
474,low,low,high,61.9,48.2,28.1,23.4,49.0
519,medium,high,low,62.3,88.6,62.4,58.6,52.3
440,low,high,high,37.8,44.5,25.7,21.4,35.7
603,low,medium,high,67.4,62.1,37.4,31.2,56.4
320,medium,low,low,58.4,67.1,48.0,46.7,43.2
289,high,medium,low,59.7,74.2,51.8,52.3,44.2
140,medium,high,high,16.8,22.6,10.1,10.9,15.9
403,low,high,medium,33.4,55.5,38.0,34.2,32.2
496,high,high,medium,74.5,86.6,56.7,54.8,59.1
562,low,high,high,52.4,57.7,34.5,28.7,47.5
690,low,high,medium,67.8,86.5,58.7,51.4,59.7
600,low,high,medium,57.0,76.8,52.2,46.0,51.1
463,medium,high,medium,55.6,72.5,48.3,45.3,46.9
521,high,high,low,77.5,99.3,68.5,66.3,61.5
239,high,medium,high,53.7,43.8,23.2,24.3,39.4
498,medium,low,high,79.8,61.3,35.9,32.4,60.3
603,low,medium,high,67.4,62.1,37.4,31.2,56.4
559,high,low,low,100.0,100.0,71.2,68.5,75.2
255,high,low,medium,65.6,60.5,39.4,40.3,46.0
177,medium,high,high,21.2,26.6,12.7,13.1,19.5
435,high,high,medium,67.2,80.0,52.3,51.1,53.3
700,low,medium,high,79.0,72.6,44.4,37.0,65.7
466,medium,medium,medium,65.9,72.8,48.6,45.5,52.2
457,low,medium,medium,49.8,61.4,41.9,37.4,42.4
516,medium,medium,medium,71.9,78.2,52.2,48.5,57.0
552,low,high,medium,51.2,71.6,48.7,43.1,46.5
99,low,medium,medium,6.9,22.7,16.1,15.9,8.0
454,high,high,low,69.5,92.0,63.7,62.2,55.1
175,low,medium,low,16.0,40.9,31.6,30.5,15.3
586,high,low,medium,100.0,96.3,63.2,60.2,77.8
111,low,low,high,18.3,9.0,2.0,1.7,14.2
597,high,low,medium,100.0,97.5,64.0,60.8,78.8
634,high,high,medium,91.1,100.0,66.6,63.0,72.4
591,medium,high,medium,70.9,86.3,57.6,53.0,59.2
58,low,medium,high,2.0,3.3,0.0,0.0,4.1
242,high,low,medium,64.0,59.1,38.4,39.5,44.7
629,low,low,low,80.5,89.9,64.3,57.7,63.9
85,high,low,low,45.2,52.2,37.1,40.1,29.7
291,high,high,medium,49.9,64.4,42.0,42.5,39.4
132,medium,medium,low,25.8,46.8,34.5,35.4,20.2
164,medium,high,medium,19.7,40.2,26.8,27.3,18.2
727,medium,high,high,87.2,86.0,52.3,46.1,72.3
334,medium,high,low,40.1,68.6,49.0,47.5,34.6
701,low,high,low,69.1,97.7,69.5,62.1,60.8
53,low,high,medium,0.0,17.7,12.8,13.2,0.0
437,high,high,medium,67.4,80.2,52.5,51.2,53.5
571,high,high,high,83.5,79.7,47.1,44.3,66.3
416,high,low,low,84.9,87.9,61.0,60.0,61.4
106,low,high,medium,0.0,23.4,16.6,16.4,3.7
492,medium,low,medium,79.0,75.6,50.4,47.0,59.7
206,low,high,low,9.7,44.2,33.8,32.4,13.3
564,high,medium,medium,92.7,93.9,61.6,58.8,70.6
135,medium,high,low,16.2,47.1,34.7,35.6,15.5
235,high,high,medium,43.2,58.4,37.9,39.1,34.1
88,high,high,low,25.6,52.5,37.3,40.3,19.9
85,high,high,medium,25.2,42.2,27.1,30.1,19.7
689,high,low,medium,100.0,100.0,70.6,66.3,87.6
522,medium,high,high,62.6,63.9,37.6,33.8,52.6
426,high,low,high,86.1,64.0,36.7,35.6,62.4
504,low,high,low,45.5,76.4,55.3,50.2,41.9
324,low,low,medium,43.9,47.0,32.3,29.4,34.6
469,low,medium,high,51.3,47.7,27.8,23.1,43.5
617,low,low,medium,79.0,78.6,53.4,47.0,62.7
345,medium,low,low,61.4,69.8,49.8,48.2,45.6
147,high,medium,low,42.6,58.9,41.6,43.8,30.6
543,high,low,low,100.0,100.0,70.1,67.6,73.6
702,high,high,medium,99.2,100.0,71.5,67.1,78.9
593,high,medium,low,96.2,100.0,73.7,70.6,73.4
135,high,high,low,31.2,57.6,40.7,43.1,24.5
655,high,low,low,100.0,100.0,78.2,74.3,84.4
368,high,medium,medium,69.2,72.7,47.5,47.1,51.8
682,low,low,high,86.8,70.7,43.1,35.9,69.0
335,high,medium,low,65.2,79.2,55.1,55.1,48.7
690,low,medium,low,77.8,96.5,68.7,61.4,64.7
74,high,high,medium,23.9,41.0,26.3,29.4,18.6
70,high,medium,low,33.4,50.6,36.0,39.2,23.2
490,high,low,medium,93.8,85.9,56.3,54.4,68.5
496,low,medium,high,54.5,50.6,29.7,24.8,46.1
250,medium,high,high,30.0,34.5,18.0,17.5,26.5
37,high,medium,high,29.4,22.0,8.7,12.2,20.1
137,high,medium,high,41.4,32.8,15.9,18.2,29.7
627,medium,low,low,95.2,100.0,70.1,65.1,72.7
198,medium,medium,medium,33.8,43.9,29.3,29.4,26.5
332,high,medium,low,64.8,78.9,54.9,54.9,48.4
380,medium,low,medium,65.6,63.5,42.4,40.3,49.0
589,medium,medium,high,80.7,71.1,42.4,37.8,64.0
244,low,low,low,34.3,48.4,36.6,34.6,26.9
606,low,low,medium,77.7,77.4,52.6,46.4,61.7
303,medium,high,medium,36.4,55.2,36.8,35.7,31.6
209,high,high,low,40.1,65.6,46.0,47.5,31.6
181,low,medium,low,16.7,41.5,32.0,30.9,15.9
95,high,medium,low,36.4,53.3,37.8,40.7,25.6
57,medium,high,medium,6.8,28.7,19.1,20.9,8.0
595,high,high,low,86.4,100.0,73.8,70.7,68.6
285,medium,low,high,54.2,38.3,20.5,19.6,39.9
406,low,low,medium,53.7,55.8,38.2,34.4,42.5
673,medium,high,medium,80.8,95.2,63.5,57.9,67.1
649,medium,high,low,77.9,100.0,71.7,66.4,64.8
45,medium,low,low,25.4,37.4,28.2,30.2,16.8
378,medium,low,low,65.4,73.3,52.2,50.2,48.8
44,high,low,medium,40.3,37.8,24.2,27.6,25.7
460,medium,medium,low,65.2,82.2,58.1,55.1,51.7
382,high,low,low,80.8,84.3,58.5,57.9,58.2
349,low,low,high,46.9,34.7,19.1,15.9,37.0
338,medium,low,medium,60.6,59.0,39.3,37.8,44.9
47,low,low,high,10.6,2.1,0.0,0.0,8.0
46,low,medium,medium,0.5,17.0,12.3,12.8,2.9
641,medium,medium,high,86.9,76.7,46.2,41.0,69.0
